"S05_START ""export"
"S05_PREPARE ""Hqg_v3_F1_LODelta_1"" leaves="90
"S05_REGULAR_EXACT ""F1_LODelta"" leaves="81
"S05_OPTIMIZE ""Hqg_v3_F1_LODelta_1"" leaves="81
"S05_EXPORTED ""Hqg_v3_F1_LODelta_1"" optimized="91
"S05_PREPARE ""Hqg_v3_F1_Delta_1"" leaves="714358
"S05_REGULAR_EXACT ""F1_Delta"" leaves="304332
"S05_OPTIMIZE ""Hqg_v3_F1_Delta_1"" leaves="304332
"S05_EXPORTED ""Hqg_v3_F1_Delta_1"" optimized="90738
"S05_PREPARE ""Hqg_v3_F1_L0_1"" leaves="21313
"S05_REGULAR_EXACT ""F1_L0"" leaves="7594
"S05_OPTIMIZE ""Hqg_v3_F1_L0_1"" leaves="7594
"S05_EXPORTED ""Hqg_v3_F1_L0_1"" optimized="3201
"S05_PREPARE ""Hqg_v3_F1_L1_1"" leaves="577
"S05_REGULAR_EXACT ""F1_L1"" leaves="216
"S05_OPTIMIZE ""Hqg_v3_F1_L1_1"" leaves="216
"S05_EXPORTED ""Hqg_v3_F1_L1_1"" optimized="162
"S05_PREPARE ""Hqg_v3_F1_Regular_1"" leaves="292994
"S05_REGULAR_EXACT ""F1_Regular"" leaves="182254
"S05_OPTIMIZE ""Hqg_v3_F1_Regular_1"" leaves="182254
"S05_EXPORTED ""Hqg_v3_F1_Regular_1"" optimized="58763
"S05_CHANNEL_DONE ""Hqg_v3"
